SampleID,Date,Study_day,ADH,ADD,ARF_sector,Sorting1,Sorting,Treatment,Gravimetric,pH,EC,  Na (ug/gdw soil) ,  K (ug/gdw soil) ,  mg (ug/gdw soil) ,  Ca (ug/gdw soil) ,  Al (ug/gdw soil) ,  Cu (ug/gdw soil) ,  Fe (ug/gdw soil) ,  Mn (ug/gdw soil) ,  Zn (ug/gdw soil) ,  Co (ug/gdw soil) ,  S180 (ug/gdw soil) ,  P (ug/gdw soil) ,  B (ug/gdw soil) ,  Se (ug/gdw soil) ,  S182 (ug/gdw soil) ,  Na (umolcharge/gdw soil) ,  K (umolcharge/gdw soil) ,  Mg (umolcharge/gdw soil) ,  Ca (umolcharge/gdw soil) 
D3_J_con_09Apr2021,44295,0,0,0,1_J,a_con,a_4.9,D3_con,0.535882747,7.575,69.88,1.490036997,57.50603617,13.91342005,199.3838878,7.147073811,0.039395888,1.854250522,0.329422928,0.045214445,0.001490711,8.851232691,1.646056182,0.671551885,0.008079497,6.979745154,0.064813045,1.470806561,1.144901876,9.949792294
D3_J_gr_09Apr2021,44295,0,0,0,1_J,b_4.9,a_4.9,D3_grave,0.530427626,6.92,55.185,2.135366221,41.45682021,12.1768869,161.0175111,11.07171577,0.045353188,2.528050149,0.564067467,0.063262428,0.001482648,10.91041588,2.324059812,0.570340946,0.021735367,9.245785628,0.092883323,1.060322833,1.002006739,8.035206901
D3_H_con_09Apr2021,44295,0,0,0,2_H,a_con,a_4.9,D3_con,0.349828105,7.51,54.05,2.889222683,13.70300081,6.151646457,97.51495958,11.73470113,0.042834528,4.105483515,0.577935557,0.036304419,0.004258362,4.876741401,0.386471127,0.299736571,0.003347318,3.940820153,0.125674275,0.350475617,0.506204193,4.866258774
D3_H_gr_09Apr2021,44295,0,0,0,2_H,b_4.9,a_4.9,D3_grave,0.296225732,7.57,44.06,2.220426697,13.73643046,4.714041077,67.37808336,7.461158025,0.041784226,3.916777175,0.413489439,0.035866585,0.00232961,4.000394213,0.373986738,0.253401021,0.004574387,3.310306438,0.09658325,0.351330632,0.387907104,3.36234759
D3_F_con_09Apr2021,44295,0,0,0,3_F,a_con,a_4.9,D3_con,0.365179861,7.615,103.915,1.270684802,21.18849617,6.612579265,171.3349448,7.541126538,0.074035578,1.533331063,0.727346602,0.02394193,0.004067736,5.892289337,0.712791979,0.407656181,-0.000639763,4.304952569,0.055271749,0.541928835,0.544133245,8.550074594
D3_F_gr_09Apr2021,44295,0,0,0,3_F,b_4.9,a_4.9,D3_grave,0.294816266,6.78,41.185,3.570578864,12.73510236,4.530886865,43.81061967,10.94821119,0.033773252,2.206459845,1.115486289,0.034730119,0.007380023,6.203642761,0.485995901,0.346423916,-0.000166544,5.614914768,0.155311639,0.325720105,0.372835784,2.186267761
D3_J_con_12Apr2021,44298,3,1305,54.4,1_J,a_con,b_4.12,D3_con,0.461015085,7.155,53.995,1.779155072,53.37848694,11.95148588,161.5190883,8.15948162,0.047226112,2.346644492,0.495349529,0.041524631,-0.000141549,7.662944278,1.545706051,0.509828104,0.005363149,6.082436298,0.07738899,1.365238052,0.983459031,8.060236951
D3_J_gr_12Apr2021,44298,3,1305,54.4,1_J,c_4.12,b_4.12,D3_grave,0.537827431,7.285,76.405,3.487937997,48.90572963,14.01051186,203.8010283,6.547920918,0.045989547,1.566789628,0.345019009,0.030369149,-0.00074764,10.09288252,2.252691665,0.483875254,0.019853497,8.075315906,0.151716959,1.250840308,1.152891328,10.17021949
D3_H_con_12Apr2021,44298,3,1305,54.4,2_H,a_con,b_4.12,D3_con,0.320929229,7.56,43.835,2.577389294,16.41914157,6.737005617,111.2897039,11.93151257,0.04675777,4.224308889,0.689995539,0.043264823,0.00742947,5.075253136,0.565251179,0.267917225,0.011829891,4.016873741,0.112110269,0.419945153,0.554371991,5.553655568
D3_H_gr_12Apr2021,44298,3,1305,54.4,2_H,c_4.12,b_4.12,D3_grave,0.327260611,7.635,34.07,3.722498148,10.39195726,5.185049629,86.08418225,7.273983086,0.035899048,3.133621107,0.301816366,0.018957126,0.002146357,3.532981275,0.350102469,0.174314983,0.010794401,2.7235283,0.161919765,0.265790514,0.426665265,4.29583224
D3_F_con_12Apr2021,44298,3,1305,54.4,3_F,a_con,b_4.12,D3_con,0.368623985,7.81,112.15,1.598734242,14.21431308,7.06065362,177.7189753,6.495952479,0.069406728,1.32733086,0.618106313,0.024223189,0.003364361,6.288147421,0.745847317,0.30707018,0.005693254,4.61903846,0.069541115,0.363553225,0.581004207,8.868654886
D3_F_gr_12Apr2021,44298,3,1305,54.4,3_F,c_4.12,b_4.12,D3_grave,0.28995714,7.005,36.965,5.841358283,13.04000303,7.378559696,69.33341598,13.48388124,0.047909241,3.363678308,1.010234752,0.059370004,0.011472441,6.977086204,0.456746958,0.174485566,0.002878322,6.13430375,0.254085112,0.333518415,0.607163933,3.459923947
D3_J_con_14Apr2021,44300,5,2143,89.9,1_J,a_con,c_4.14,D3_con,0.399005077,7.535,51.4,1.357675005,47.24775866,11.44609491,169.3730883,7.527865669,0.076970194,1.77996353,0.416085504,0.033668752,0.000434573,6.685235507,1.397126547,0.586563476,0.003776012,5.036080627,0.059055615,1.208435115,0.941871624,8.452172676
D3_J_gr_14Apr2021,44300,5,2143,89.9,1_J,d_4.14,c_4.14,D3_grave,0.46914211,7.2,127.7,13.69426086,43.86186584,12.85059286,179.9806424,7.685494296,0.04466782,1.795223191,0.424788186,0.034585991,-0.000871115,9.258095187,2.156952874,0.481220081,0.017683649,7.436573473,0.595667589,1.121835626,1.057444383,8.981518159
D3_H_con_14Apr2021,44300,5,2143,89.9,2_H,a_con,c_4.14,D3_con,0.276138689,7.47,41.275,1.763511485,10.78687918,5.248040518,85.4414047,12.70169774,0.028501831,3.953371953,0.615693806,0.03614891,0.004709223,3.70780008,0.316963569,0.187727757,-0.000388586,2.85926935,0.076708531,0.275891258,0.431848633,4.263755911
D3_H_gr_14Apr2021,44300,5,2143,89.9,2_H,d_4.14,c_4.14,D3_grave,0.291264142,7.36,32.09,6.426775701,12.42616653,4.055053739,55.37374386,7.964832069,0.037761408,4.26031378,0.413364463,0.034680068,0.001904944,4.326856875,0.34879418,0.198235332,0.007554269,3.671483381,0.279549369,0.317818589,0.33368062,2.76329876
D3_F_con_14Apr21,44300,5,2143,89.9,3_F,a_con,c_4.14,D3_con,0.351308434,7.535,90.39,1.344864159,11.91545118,6.204153699,139.3378063,8.343964433,0.063702172,1.613406556,0.915235703,0.031131871,0.006371661,5.375248388,0.813909399,0.30419628,0.010947204,4.058452846,0.058498374,0.304756247,0.510524888,6.95333132
D3_F_gr_14Apr2021,44300,5,2143,89.9,3_F,d_4.14,c_4.14,D3_grave,0.319155964,6.97,39.235,4.788025555,22.33806786,5.84653527,57.29394208,12.86404782,0.057267395,2.768685516,1.276613798,0.05016674,0.016465804,6.255151616,0.973512812,0.212593822,0.007941702,5.487689532,0.208267658,0.571330924,0.481097327,2.859121816
D3_J_con_16Apr2021,44302,7,2805,116.9,1_J,a_con,d_4.16,D3_con,0.355343073,7.54,63.98,4.718328885,11.76008608,5.336369271,54.12874597,15.41299002,0.052934534,3.4858756,1.508169434,0.052370797,0.014826462,7.831561813,0.471329104,0.340652545,0.00770972,6.960083052,0.20523602,0.300782542,0.439116994,2.701170017
D3_J_gr_16Apr2021,44302,7,2805,116.9,1_J,e_4.16,d_4.16,D3_grave,0.445407825,7.26,90.86,10.32041278,45.71776604,13.50003734,178.4987338,8.337506828,0.039497879,1.91308709,0.504758987,0.044418626,0.001008141,10.34027329,2.062779591,0.397918801,0.012548204,8.371434056,0.448913268,1.169303168,1.110885607,8.907566934
