pH,EC,Ca,P,K,S,Na,Mg,Fe,Cu,Mn,Zn,Se,Co,Al,B
6.92,55.185,161.0175111,2.324059812,41.45682021,10.91041588,2.135366221,12.1768869,2.528050149,0.045353188,0.564067467,0.063262428,0.021735367,0.001482648,11.07171577,0.570340946
7.57,44.06,67.37808336,0.373986738,13.73643046,4.000394213,2.220426697,4.714041077,3.916777175,0.041784226,0.413489439,0.035866585,0.004574387,0.00232961,7.461158025,0.253401021
6.78,41.185,43.81061967,0.485995901,12.73510236,6.203642761,3.570578864,4.530886865,2.206459845,0.033773252,1.115486289,0.034730119,-0.000166544,0.007380023,10.94821119,0.346423916
7.285,76.405,203.8010283,2.252691665,48.90572963,10.09288252,3.487937997,14.01051186,1.566789628,0.045989547,0.345019009,0.030369149,0.019853497,-0.00074764,6.547920918,0.483875254
7.635,34.07,86.08418225,0.350102469,10.39195726,3.532981275,3.722498148,5.185049629,3.133621107,0.035899048,0.301816366,0.018957126,0.010794401,0.002146357,7.273983086,0.174314983
7.005,36.965,69.33341598,0.456746958,13.04000303,6.977086204,5.841358283,7.378559696,3.363678308,0.047909241,1.010234752,0.059370004,0.002878322,0.011472441,13.48388124,0.174485566
7.2,127.7,179.9806424,2.156952874,43.86186584,9.258095187,13.69426086,12.85059286,1.795223191,0.04466782,0.424788186,0.034585991,0.017683649,-0.000871115,7.685494296,0.481220081
7.36,32.09,55.37374386,0.34879418,12.42616653,4.326856875,6.426775701,4.055053739,4.26031378,0.037761408,0.413364463,0.034680068,0.007554269,0.001904944,7.964832069,0.198235332
6.97,39.235,57.29394208,0.973512812,22.33806786,6.255151616,4.788025555,5.84653527,2.768685516,0.057267395,1.276613798,0.05016674,0.007941702,0.016465804,12.86404782,0.212593822
7.26,90.86,178.4987338,2.062779591,45.71776604,10.34027329,10.32041278,13.50003734,1.91308709,0.039497879,0.504758987,0.044418626,0.012548204,0.001008141,8.337506828,0.397918801
7.615,38.205,66.40090383,0.17184437,12.08067552,2.879882017,3.983904221,4.477082987,3.637360092,0.02770525,0.339122622,0.02227626,0.001009231,0.000728378,7.168824033,0.157140196
6.8,34.485,51.87897777,0.539198462,11.0826769,7.134364694,4.526742154,5.197500686,3.243329214,0.046112168,1.438423794,0.063190848,0.006184404,0.013385004,14.05784996,0.321457497
6.775,263.15,224.0580039,0.586068231,50.29438831,12.32608017,43.80928972,14.66807772,1.021688387,0.045903878,0.208070654,0.021903893,0.012136005,-0.000625252,3.870360804,0.496902012
7.235,47.985,73.79632007,0.295901437,11.56322541,3.524765072,3.959804105,5.190772868,4.363023362,0.033150649,0.489151301,0.035225143,0.00758201,0.00275259,7.498166468,0.140349702
6.56,46.12,70.16611753,0.8688813,13.13797911,6.607565794,7.955462196,7.50921714,1.693246635,0.038062135,1.038937469,0.038319331,0.010059157,0.007638652,8.67757652,0.205388577
6.965,248.8,202.9841475,2.499675794,59.47291223,16.85549046,39.97093909,13.2605881,0.813626286,0.058727403,0.247410979,0.03259976,0.018298879,0.000625135,4.058441457,0.612348793
7.35,113.05,85.55408187,0.304107283,18.28339037,7.661234911,18.45766515,5.596706506,3.753781828,0.034802427,0.521602817,0.028296556,-0.005853774,0.004476497,9.245749741,0.148768198
6.655,44.975,69.64144301,0.732796107,10.88252768,6.002635034,12.75619326,7.374666144,1.697089545,0.035637106,1.307040764,0.033230214,0.006236256,0.012764447,8.193452675,0.184670011
