2-Theta,SP_K_room,SP_Mg,SP_K_300,SP_K_550,SP_Mg_gly,WIN_K_room,WIN_Mg,WIN_K_300,WIN_K_550,WIN_Mg_gly
2,1418,2763.7,2519,2321,2791.7,1027.7,2438.7,1552.7,1403.3,2048.3
2.05,1351,2598.3,1940.3,1791.7,2712,986,2376.3,1382,1148.7,1953
2.1,1258,2450,1665,1411.7,2516,939.33,2305,1233,1043.7,1972.7
2.15,1157.3,2307.7,1535.7,1279.7,2522,873.67,2213.3,1172.3,966.33,1809.3
2.2,1093.7,2206.3,1396.7,1226.7,2374.3,792.67,2073,1080.3,911.33,1764.3
2.25,1002,2125,1328.7,1129.7,2317.7,770.33,2024,1015,854.67,1690
2.3,956.33,2032,1269.7,1105,2246.3,736,1962,954.67,815,1678.7
2.35,905.67,1961.3,1178,1013,2115.7,689.67,1829.7,908.67,766.67,1631
2.4,860.67,1928.3,1125,955.33,2035.7,668.67,1786,840,717.67,1546
2.45,774,1807,1043,921,2005.3,621.67,1763.7,768.67,705.67,1521.7
2.5,748,1749.7,979.67,862.33,1921,602.67,1700.7,771.67,666,1487.7
2.55,736.67,1698,946.67,831.67,1787,545.67,1638,712.33,586.33,1475
2.6,691.67,1647.3,917,782,1770.3,526.33,1562.3,694.33,575.67,1429.3
2.65,679.67,1597.7,825.33,740.33,1719,498.67,1578.7,642.33,530.67,1387
2.7,639.33,1503.3,873.67,709.67,1673.3,505,1464.7,605.67,533.33,1345.3
2.75,626.67,1550.3,777.33,662.67,1652.3,466,1459,591.33,510.67,1381.7
2.8,588,1495.7,747,653.67,1646,441.67,1417.7,592,485,1299
2.85,574.33,1441.7,748,600.67,1527.3,423.33,1373.7,527.67,475.33,1313.7
2.9,548,1404.3,690.67,577,1492.3,434,1349,508,434.33,1238.7
2.95,511,1392,668.67,574.67,1477.3,395.67,1288,493,443,1257.7
3,513.33,1320.7,652,536.33,1478.7,391.67,1294,457.33,409,1234
3.05,498.67,1303,629.33,534,1393,379.33,1252,460.67,385.33,1202.7
3.1,451.67,1285.3,588,490,1375,376.33,1210.7,439.33,398.67,1185.7
3.15,468.33,1270,560,475.33,1328,362,1205.7,411.33,355.33,1172.7
3.2,455.33,1242.7,560.67,487,1307.7,340.67,1205,398.33,357,1140.7
3.25,434,1199.3,525.33,460.33,1315.7,313.33,1155,387.33,356.33,1108
3.3,404,1189,542,437,1307,310.33,1132.3,390.67,345,1108
3.35,402.33,1153,496,406.67,1218.7,302.67,1143.7,373.67,338,1012.7
3.4,384.33,1133,481.33,436,1194.3,297,1118.3,354.33,312,1047
3.45,399,1124,462.67,404,1185.3,295,1067.7,344.67,313.67,1021.7
3.5,374.33,1084,452,402.67,1190.3,283.67,1043.3,346.33,306.33,992.33
3.55,354,1051,424.33,352,1122.7,272.33,1041.3,319.67,284.67,982.33
3.6,364,1032.7,452.33,372.33,1160,266.33,1000.3,324,290.67,949.67
3.65,367,980.67,414.33,361.33,1097,253.67,998.67,317.33,276.33,925.33
3.7,322.67,1011.3,397.33,353.33,1042.3,243,991.33,282.33,282.67,885.33
3.75,317.33,981.33,415,343,1048.3,251.67,972,301.67,242.67,916.67
3.8,319,948.67,369.67,357.33,996.67,236,947,299,256,848
3.85,321,938.33,370.67,334.67,986,249,915,285.67,250,839.67
3.9,303.67,933.67,354.67,339.33,972,245.33,886,277,253,815
